plant_id,date,type,file,label,day,photo_id
PL-H01-R,2026-06-07,hel,bilder/hibiskusar/PL-H01-R_2026-06-07_hel.jpg,2026-06-07 · hel,203,HPH-0B8FB5A8F497
PL-H01-R,2026-08-15,hel,bilder/hibiskusar/PL-H01-R_2026-08-15_hel.jpg,2026-08-15 · hel,272,HPH-737C3F409AE1
PL-H01-R,2026-08-17,beskuren,bilder/hibiskusar/PL-H01-R_synk-7cdd30efce_2026-08-17_beskuren.jpg,2026-08-17 · beskuren,274,HPH-4DFB292523AC
PL-H01-R,2026-08-17,stickling,bilder/hibiskusar/PL-H01-R_synk-e8f523ed16_2026-08-17_stickling.jpg,2026-08-17 · stickling,274,HPH-63E5A6B8BAAB
PL-H02-A-01,2026-07-26,hel,bilder/hibiskusar/PL-H02-A-01_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-321FDDB557D0
PL-H02-A-01,2026-08-15,hel,bilder/hibiskusar/PL-H02-A-01_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-6C9FF56F4B61
PL-H02-B-01,2026-07-08,grodd,bilder/hibiskusar/PL-H02-B-01_2026-07-08_grodd.jpg,2026-07-08 · grodd,13,HPH-3F5C829A5BCE
PL-H02-B-01,2026-07-26,hel,bilder/hibiskusar/PL-H02-B-01_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-B2517204B56C
PL-H02-B-01,2026-08-15,hel,bilder/hibiskusar/PL-H02-B-01_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-D150A1037794
PL-H02-C-01,2026-07-26,hel,bilder/hibiskusar/PL-H02-C-01_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-632D36E3C4CF
PL-H02-C-01,2026-08-15,hel,bilder/hibiskusar/PL-H02-C-01_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-3A0BA42766D2
PL-H02-C-02,2026-08-02,grodd,bilder/hibiskusar/PL-H02-C-02_2026-08-02_grodd.jpg,2026-08-02 · grodd,38,HPH-36A73FF88A3D
PL-H02-C-02,2026-08-15,hel,bilder/hibiskusar/PL-H02-C-02_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-07C79F1D922A
PL-H02-C-03,2026-08-02,grodd,bilder/hibiskusar/PL-H02-C-03_2026-08-02_grodd.jpg,2026-08-02 · grodd,38,HPH-EC278B6DB101
PL-H02-C-03,2026-08-15,hel,bilder/hibiskusar/PL-H02-C-03_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-93976520D1F0
PL-H02-D-01,2026-07-08,grodd,bilder/hibiskusar/PL-H02-D-01_2026-07-08_grodd.jpg,2026-07-08 · grodd,13,HPH-31FD60C92AC8
PL-H02-D-01,2026-07-26,hel,bilder/hibiskusar/PL-H02-D-01_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-EB4FE48F366D
PL-H02-D-01,2026-08-15,hel,bilder/hibiskusar/PL-H02-D-01_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-D87206200C62
PL-H02-D-02,2026-07-26,hel,bilder/hibiskusar/PL-H02-D-02_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-C2ED7A94ECB9
PL-H02-D-02,2026-08-15,hel,bilder/hibiskusar/PL-H02-D-02_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-A6555240C694
PL-H02-D-03,2026-07-26,hel,bilder/hibiskusar/PL-H02-D-03_2026-07-26_hel.jpg,2026-07-26 · hel,31,HPH-08BFC185B751
PL-H02-D-03,2026-08-15,hel,bilder/hibiskusar/PL-H02-D-03_2026-08-15_hel.jpg,2026-08-15 · hel,51,HPH-8C8D2CD4932C
